workload,phase,arm,ns_per_call
heat1d_residual_grad 1000x9,4,kernel,24056.273962739626
heat1d_residual_grad 8192x9,0,fallback,239320.02750558706
heat1d_residual_grad 8192x9,0,fallback (A/A),282423.91266976105
heat1d_residual_grad 8192x9,0,kernel,224337.44198040228
heat1d_residual_grad 8192x9,1,fallback,211882.46518824136
heat1d_residual_grad 8192x9,1,fallback (A/A),180195.3928141654
heat1d_residual_grad 8192x9,1,kernel,172867.47464328693
heat1d_residual_grad 8192x9,2,fallback,189662.4548736462
heat1d_residual_grad 8192x9,2,fallback (A/A),189086.72855423758
heat1d_residual_grad 8192x9,2,kernel,173881.72597558878
heat1d_residual_grad 8192x9,3,fallback,175036.2901839436
heat1d_residual_grad 8192x9,3,fallback (A/A),184646.58758810384
heat1d_residual_grad 8192x9,3,kernel,235338.30152999828
heat1d_residual_grad 8192x9,4,fallback,231051.21196493038
heat1d_residual_grad 8192x9,4,fallback (A/A),179949.99140450405
heat1d_residual_grad 8192x9,4,kernel,169551.79645865568
mse_loss_grad,0,fallback,186435.76078112287
mse_loss_grad,0,fallback (A/A),181457.95362082994
mse_loss_grad,0,kernel,159615.1749389748
mse_loss_grad,1,fallback,178596.68429617575
mse_loss_grad,1,fallback (A/A),186939.11716842963
mse_loss_grad,1,kernel,181398.37266069977
mse_loss_grad,2,fallback,223519.93490642798
mse_loss_grad,2,fallback (A/A),205260.72009764035
mse_loss_grad,2,kernel,159420.48413344182
mse_loss_grad,3,fallback,184659.17412530512
mse_loss_grad,3,fallback (A/A),184792.27013832383
mse_loss_grad,3,kernel,159819.9755899105
mse_loss_grad,4,fallback,175346.23677786818
mse_loss_grad,4,fallback (A/A),176613.40520748575
mse_loss_grad,4,kernel,153850.48820179008
mse+grad via GradGraph (status quo),0,fallback,1008440.8794788274
mse+grad via GradGraph (status quo),0,fallback (A/A),1018257.1661237786
mse+grad via GradGraph (status quo),1,fallback,1088888.5993485341
mse+grad via GradGraph (status quo),1,fallback (A/A),1237418.0781758958
mse+grad via GradGraph (status quo),2,fallback,1308063.8436482085
mse+grad via GradGraph (status quo),2,fallback (A/A),1288291.8566775245
mse+grad via GradGraph (status quo),3,fallback,1097819.2182410425
mse+grad via GradGraph (status quo),3,fallback (A/A),1023743.8110749186
mse+grad via GradGraph (status quo),4,fallback,1024692.345276873
mse+grad via GradGraph (status quo),4,fallback (A/A),1050409.9348534201
