subject,family,arm,config,phase_idx,warmup,iters,wall_micros,per_run_micros,rss_plan_kb,rss_final_kb
tensor_mix_n16_i50,tensor,a,baseline,5,false,932,4008219,4300.664,5748,10488
tensor_mix_n16_i50,tensor,b,selector_rec,5,false,932,3438948,3689.858,5756,10468
tensor_tg_k0,tensor,a,baseline,0,true,2050,2994739,1460.848,5772,10452
tensor_tg_k0,tensor,b,selector_rec,0,true,2050,3486087,1700.530,5776,10572
tensor_tg_k0,tensor,a,baseline,1,false,2050,6624849,3231.634,5756,10536
tensor_tg_k0,tensor,b,selector_rec,1,false,2050,9996268,4876.228,5776,10496
tensor_tg_k0,tensor,a,baseline,2,false,2050,7452227,3635.233,5768,10512
tensor_tg_k0,tensor,b,selector_rec,2,false,2050,4482810,2186.737,5780,10632
tensor_tg_k0,tensor,a,baseline,3,false,2050,3520728,1717.428,5768,10544
tensor_tg_k0,tensor,b,selector_rec,3,false,2050,3003530,1465.137,5788,10588
tensor_tg_k0,tensor,a,baseline,4,false,2050,8034062,3919.055,5772,10512
tensor_tg_k0,tensor,b,selector_rec,4,false,2050,6664216,3250.837,5784,10472
tensor_tg_k0,tensor,a,baseline,5,false,2050,5721342,2790.899,5768,10424
tensor_tg_k0,tensor,b,selector_rec,5,false,2050,6641888,3239.945,5764,10432
tensor_tg_k1,tensor,a,baseline,0,true,1847,6237945,3377.339,5748,10488
tensor_tg_k1,tensor,b,selector_rec,0,true,1847,6186462,3349.465,5776,10496
tensor_tg_k1,tensor,a,baseline,1,false,1847,6443027,3488.374,5772,10492
tensor_tg_k1,tensor,b,selector_rec,1,false,1847,6685516,3619.662,5780,10532
tensor_tg_k1,tensor,a,baseline,2,false,1847,4567652,2473.011,5768,10560
tensor_tg_k1,tensor,b,selector_rec,2,false,1847,6992084,3785.644,5788,10524
tensor_tg_k1,tensor,a,baseline,3,false,1847,6534909,3538.121,5780,10548
tensor_tg_k1,tensor,b,selector_rec,3,false,1847,6368350,3447.943,5784,10468
tensor_tg_k1,tensor,a,baseline,4,false,1847,8285328,4485.830,5756,10504
tensor_tg_k1,tensor,b,selector_rec,4,false,1847,3490985315,1890084.090,5776,10608
tensor_tg_k1,tensor,a,baseline,5,false,1847,3517637,1904.514,5748,10460
tensor_tg_k1,tensor,b,selector_rec,5,false,1847,2625240,1421.354,5764,10468
tensor_tg_k2,tensor,a,baseline,0,true,2360,3924404,1662.883,5760,10392
tensor_tg_k2,tensor,b,selector_rec,0,true,2360,4413386,1870.079,5792,10604
tensor_tg_k2,tensor,a,baseline,1,false,2360,7268798,3079.999,5760,10496
tensor_tg_k2,tensor,b,selector_rec,1,false,2360,5386416,2282.380,5776,10528
tensor_tg_k2,tensor,a,baseline,2,false,2360,7425680,3146.475,5768,10576
tensor_tg_k2,tensor,b,selector_rec,2,false,2360,3774265,1599.265,5772,10600
tensor_tg_k2,tensor,a,baseline,3,false,2360,4303510,1823.521,5756,10504
tensor_tg_k2,tensor,b,selector_rec,3,false,2360,5968544,2529.044,5756,10524
tensor_tg_k2,tensor,a,baseline,4,false,2360,4612378,1954.397,5780,10508
tensor_tg_k2,tensor,b,selector_rec,4,false,2360,4380591,1856.183,5772,10624
tensor_tg_k2,tensor,a,baseline,5,false,2360,6348410,2690.004,5776,10512
tensor_tg_k2,tensor,b,selector_rec,5,false,2360,6177398,2617.542,5768,10584
tensor_tg_k3,tensor,a,baseline,0,true,2624,6114947,2330.391,5768,10612
tensor_tg_k3,tensor,b,selector_rec,0,true,2624,3827296,1458.573,5764,10516
tensor_tg_k3,tensor,a,baseline,1,false,2624,6447165,2456.999,5768,10556
tensor_tg_k3,tensor,b,selector_rec,1,false,2624,7466412,2845.431,5772,10508
tensor_tg_k3,tensor,a,baseline,2,false,2624,6044577,2303.574,5776,10516
tensor_tg_k3,tensor,b,selector_rec,2,false,2624,7308913,2785.409,5748,10592
tensor_tg_k3,tensor,a,baseline,3,false,2624,6258584,2385.131,5768,10588
tensor_tg_k3,tensor,b,selector_rec,3,false,2624,10801964,4116.602,5772,10520
tensor_tg_k3,tensor,a,baseline,4,false,2624,6723272,2562.223,5776,10576
tensor_tg_k3,tensor,b,selector_rec,4,false,2624,10486281,3996.296,5796,10552
tensor_tg_k3,tensor,a,baseline,5,false,2624,5771070,2199.341,5772,10504
tensor_tg_k3,tensor,b,selector_rec,5,false,2624,6839664,2606.579,5792,10700
tensor_tg_k4,tensor,a,baseline,0,true,1614,3258889,2019.138,5780,10528
tensor_tg_k4,tensor,b,selector_rec,0,true,1614,2901945,1797.983,5788,10520
tensor_tg_k4,tensor,a,baseline,1,false,1614,3837902,2377.882,5772,10480
tensor_tg_k4,tensor,b,selector_rec,1,false,1614,3617472,2241.309,5780,10512
tensor_tg_k4,tensor,a,baseline,2,false,1614,3313570,2053.017,5768,10536
tensor_tg_k4,tensor,b,selector_rec,2,false,1614,3869275,2397.320,5784,10628
tensor_tg_k4,tensor,a,baseline,3,false,1614,4355039,2698.289,5780,10520
tensor_tg_k4,tensor,b,selector_rec,3,false,1614,3318917,2056.330,5788,10528
tensor_tg_k4,tensor,a,baseline,4,false,1614,4067867,2520.364,5760,10548
tensor_tg_k4,tensor,b,selector_rec,4,false,1614,4345118,2692.143,5772,10516
tensor_tg_k4,tensor,a,baseline,5,false,1614,3554183,2202.096,5776,10528
tensor_tg_k4,tensor,b,selector_rec,5,false,1614,3162640,1959.504,5780,10520
example_08_pinn_heat,nonsynthetic,a,baseline,0,true,1,2782116,2782116.000,6260,9500
