workload,phase,arm,ns_per_call
heat1d_residual_grad 1000x9,4,kernel,26018.693485155927
heat1d_residual_grad 8192x9,0,fallback,203679.49334319527
heat1d_residual_grad 8192x9,0,fallback (A/A),215644.84097633135
heat1d_residual_grad 8192x9,0,kernel,187890.5325443787
heat1d_residual_grad 8192x9,1,fallback,250482.34097633135
heat1d_residual_grad 8192x9,1,fallback (A/A),238042.52958579882
heat1d_residual_grad 8192x9,1,kernel,219699.1678994083
heat1d_residual_grad 8192x9,2,fallback,294955.325443787
heat1d_residual_grad 8192x9,2,fallback (A/A),253527.88461538462
heat1d_residual_grad 8192x9,2,kernel,202138.2026627219
heat1d_residual_grad 8192x9,3,fallback,237228.05103550295
heat1d_residual_grad 8192x9,3,fallback (A/A),208197.74408284025
heat1d_residual_grad 8192x9,3,kernel,184057.10059171598
heat1d_residual_grad 8192x9,4,fallback,206731.87869822484
heat1d_residual_grad 8192x9,4,fallback (A/A),198591.49408284025
heat1d_residual_grad 8192x9,4,kernel,167695.21079881658
matmul tiled 128x128x128,0,fallback,540783.4061135371
matmul tiled 128x128x128,0,fallback (A/A),585860.2134885978
matmul tiled 128x128x128,0,kernel,842035.6622998544
matmul tiled 128x128x128,1,fallback,540634.4978165939
matmul tiled 128x128x128,1,fallback (A/A),593318.5346918971
matmul tiled 128x128x128,1,kernel,873639.2527899079
matmul tiled 128x128x128,2,fallback,675341.6787967007
matmul tiled 128x128x128,2,fallback (A/A),689896.5065502183
matmul tiled 128x128x128,2,kernel,845421.7370208637
matmul tiled 128x128x128,3,fallback,577476.9529354682
matmul tiled 128x128x128,3,fallback (A/A),551910.7229500243
matmul tiled 128x128x128,3,kernel,829589.859291606
matmul tiled 128x128x128,4,fallback,580182.5327510918
matmul tiled 128x128x128,4,fallback (A/A),613873.7506065017
matmul tiled 128x128x128,4,kernel,868228.6268801553
matmul tiled 256x256x256,0,fallback,4281805.291005291
matmul tiled 256x256x256,0,fallback (A/A),4408295.767195767
matmul tiled 256x256x256,0,kernel,6691355.026455026
matmul tiled 256x256x256,1,fallback,4617003.174603174
matmul tiled 256x256x256,1,fallback (A/A),4511423.80952381
matmul tiled 256x256x256,1,kernel,6942122.222222222
matmul tiled 256x256x256,2,fallback,4448547.619047619
