workload,phase,arm,ns_per_call
heat1d_residual_grad 1000x9,4,kernel,20035.384281686067
heat1d_residual_grad 8192x9,0,fallback,233343.5247237819
heat1d_residual_grad 8192x9,0,fallback (A/A),241812.08114472017
heat1d_residual_grad 8192x9,0,kernel,203098.49664915775
heat1d_residual_grad 8192x9,1,fallback,240683.91595725412
heat1d_residual_grad 8192x9,1,fallback (A/A),246627.04220249955
heat1d_residual_grad 8192x9,1,kernel,200694.2945118638
heat1d_residual_grad 8192x9,2,fallback,261425.6475276218
heat1d_residual_grad 8192x9,2,fallback (A/A),271617.5873935881
heat1d_residual_grad 8192x9,2,kernel,179862.76036949828
heat1d_residual_grad 8192x9,3,fallback,200195.03713095453
heat1d_residual_grad 8192x9,3,fallback (A/A),198296.2144539033
heat1d_residual_grad 8192x9,3,kernel,168480.22097446115
heat1d_residual_grad 8192x9,4,fallback,205761.89096178228
heat1d_residual_grad 8192x9,4,fallback (A/A),226612.44339793516
heat1d_residual_grad 8192x9,4,kernel,156864.66219887702
mse_loss_grad,0,fallback,225781.17074865382
mse_loss_grad,0,fallback (A/A),192893.48619072433
mse_loss_grad,0,kernel,151470.14069828036
mse_loss_grad,1,fallback,170438.70071217648
mse_loss_grad,1,fallback (A/A),166828.1917665451
mse_loss_grad,1,kernel,161992.131318395
mse_loss_grad,2,fallback,169560.67396213306
mse_loss_grad,2,fallback (A/A),170041.35834636094
mse_loss_grad,2,kernel,150229.14712523884
mse_loss_grad,3,fallback,165957.47785304848
mse_loss_grad,3,fallback (A/A),177138.38804933126
mse_loss_grad,3,kernel,168331.8742400556
mse_loss_grad,4,fallback,214909.136703144
mse_loss_grad,4,fallback (A/A),192779.72902553412
mse_loss_grad,4,kernel,150378.51311446933
mse+grad via GradGraph (status quo),0,fallback,992200.6756756756
mse+grad via GradGraph (status quo),0,fallback (A/A),861932.7702702703
mse+grad via GradGraph (status quo),1,fallback,746709.2905405406
mse+grad via GradGraph (status quo),1,fallback (A/A),731808.277027027
mse+grad via GradGraph (status quo),2,fallback,745216.3851351351
mse+grad via GradGraph (status quo),2,fallback (A/A),734447.6351351351
mse+grad via GradGraph (status quo),3,fallback,750411.1486486486
mse+grad via GradGraph (status quo),3,fallback (A/A),748257.9391891892
mse+grad via GradGraph (status quo),4,fallback,770916.3851351351
mse+grad via GradGraph (status quo),4,fallback (A/A),801153.8851351351
