episode,loss,n_moves,terminal_reward,temp,adam_step
0,0.3840385701548139,25,0,1.2,1
1,0.35731232759000675,25,0,1.1933333333333334,2
2,0.4803165394977469,25,0,1.1866666666666665,3
3,0.638363185169506,25,0,1.18,4
4,0.5918825088221511,25,0,1.1733333333333333,5
5,0.5640037654156166,25,0,1.1666666666666665,6
6,0.33608267635406863,25,0,1.16,7
7,0.32369365177299836,25,0,1.1533333333333333,8
8,0.41257933392258034,25,0,1.1466666666666667,9
9,0.573140367906868,25,0,1.14,10
10,0.42525508393456546,25,0,1.1333333333333333,11
11,0.5664461275493955,25,0,1.1266666666666667,12
12,0.7181490902108871,25,0,1.1199999999999999,13
13,0.6605501554605246,25,0,1.1133333333333333,14
14,0.596193061229719,25,0,1.1066666666666667,15
15,0.5734875399791369,25,0,1.1,16
16,0.32345982635259385,25,0,1.0933333333333333,17
17,0.3704123190910104,25,0,1.0866666666666667,18
18,0.5350967559176109,25,0,1.08,19
19,0.6187888608829705,25,0,1.0733333333333333,20
20,0.6044744333965766,25,0,1.0666666666666667,21
21,0.3686499314933633,25,0,1.06,22
22,0.393927244007597,25,0,1.0533333333333332,23
23,0.48355514448912607,25,0,1.0466666666666666,24
24,0.36380615297649926,25,0,1.04,25
25,0.43233599152168006,25,0,1.0333333333333332,26
26,0.3769354764717812,25,0,1.0266666666666666,27
27,0.40530743234087935,25,0,1.02,28
28,0.3917115978949306,25,0,1.0133333333333334,29
29,0.4558881122899063,25,0,1.0066666666666666,30
30,0.5400283945564001,25,0,1,31
31,0.5950274903422058,25,0,0.9933333333333333,32
32,0.38730835515114614,25,0,0.9866666666666667,33
33,0.6500011369009194,25,0,0.98,34
34,0.3143900009328234,25,0,0.9733333333333334,35
35,0.4741693976189266,25,0,0.9666666666666667,36
36,0.3499731159631783,25,0,0.96,37
37,0.4225966798648992,25,0,0.9533333333333334,38
38,0.4698006881186255,25,0,0.9466666666666668,39
39,0.5991577108613888,25,0,0.94,40
40,0.7247234550775009,25,0,0.9333333333333333,41
41,0.5927256738417421,25,0,0.9266666666666667,42
42,0.4799375671956297,25,0,0.92,43
43,0.64918881055015,25,0,0.9133333333333333,44
44,0.7107005798005253,25,0,0.9066666666666667,45
45,0.29825712873899574,25,0,0.9,46
46,0.5598324803041544,25,0,0.8933333333333333,47
47,0.5699335983096967,25,0,0.8866666666666667,48
48,0.5871935129579977,25,0,0.88,49
49,0.3810449642052444,25,0,0.8733333333333333,50
50,0.4256791327199798,25,0,0.8666666666666667,51
51,0.5417288334573263,25,0,0.8600000000000001,52
52,0.34230665065373317,25,0,0.8533333333333333,53
53,0.3518697681065652,25,0,0.8466666666666667,54
54,0.5511855333331827,25,0,0.8400000000000001,55
55,0.4925023390519307,25,0,0.8333333333333334,56
56,0.587208219013923,25,0,0.8266666666666667,57
57,0.514341973097808,25,0,0.8200000000000001,58
58,0.5573639839103531,25,0,0.8133333333333334,59
59,0.35489463273304306,25,0,0.8066666666666668,60
