episode,loss,n_moves,terminal_reward,temp,adam_step,repetition_draw
92,0.5789523393698806,80,0,0.8933333333333333,93,0
0,0.4291106974552281,80,0,1.2,1,0
93,0.5609318656087345,80,0,0.89,94,0
1,0.5074554738312475,80,0,1.1966666666666665,2,0
94,0.6031500538115453,80,0,0.8866666666666667,95,0
95,0.4629770464746201,80,0,0.8833333333333333,96,0
2,0.35740414939254994,80,0,1.1933333333333334,3,0
96,0.4645396266669404,80,0,0.88,97,0
3,0.3946960915603751,80,0,1.19,4,0
97,0.49264035934142014,80,0,0.8766666666666667,98,0
4,0.5027410193935292,80,0,1.1866666666666665,5,0
98,0.4824042074896011,80,0,0.8733333333333333,99,0
5,0.5277024024110444,80,0,1.1833333333333333,6,0
99,0.4769683355908265,80,0,0.8700000000000001,100,0
6,0.439420823280104,80,0,1.18,7,0
100,0.5597209543285269,80,0,0.8666666666666667,101,0
7,0.4781737779360021,80,0,1.1766666666666665,8,0
101,0.6106216392599532,80,0,0.8633333333333333,102,0
8,0.5552105780946125,80,0,1.1733333333333333,9,0
102,0.38286224548913067,80,0,0.8600000000000001,103,0
9,0.5011915395261834,80,0,1.17,10,0
103,0.5101913002710416,80,0,0.8566666666666667,104,0
10,0.6476955610799178,80,0,1.1666666666666665,11,0
104,0.5569920577226084,80,0,0.8533333333333333,105,0
11,0.5136584595999405,80,0,1.1633333333333333,12,0
105,0.51749818017797,80,0,0.8500000000000001,106,0
12,0.6763082772315125,80,0,1.16,13,0
106,0.4981145423621402,80,0,0.8466666666666667,107,0
107,0.39397870265337276,80,0,0.8433333333333333,108,0
13,0.49513654417495706,80,0,1.1566666666666667,14,0
14,0.6154254932979344,80,0,1.1533333333333333,15,0
108,0.5414866531469413,78,-0.922,0.8400000000000001,109,0
15,0.5565117569921287,80,0,1.15,16,0
109,0.6245378704043125,80,0,0.8366666666666667,110,0
16,0.5237828255871233,80,0,1.1466666666666667,17,0
110,0.5057326196491004,80,0,0.8333333333333334,111,0
17,0.4992990537938141,80,0,1.1433333333333333,18,0
111,0.6253102027528292,80,0,0.8300000000000001,112,0
18,0.6373877639250138,80,0,1.14,19,0
112,0.6096296782138397,80,0,0.8266666666666667,113,0
19,0.5033958397984407,80,0,1.1366666666666667,20,0
113,0.5247804374257038,80,0,0.8233333333333334,114,0
20,0.5140988190813507,80,0,1.1333333333333333,21,0
21,0.3792983045237065,80,0,1.13,22,0
114,0.4962141469797914,80,0,0.8200000000000001,115,0
115,0.6545870938324112,80,0,0.8166666666666667,116,0
22,0.5368669435392445,80,0,1.1266666666666667,23,0
116,0.4701914288037381,80,0,0.8133333333333334,117,0
117,0.48536313500079376,80,0,0.81,118,0
23,0.3958004298924383,80,0,1.1233333333333333,24,0
118,0.4811861641243601,80,0,0.8066666666666668,119,0
24,0.41773617518683964,80,0,1.1199999999999999,25,0
