episode,loss,n_moves,terminal_reward,temp,adam_step,repetition_draw
0,0.4291106974552281,80,0,1.2,1,0
1,0.5074554738312475,80,0,1.1933333333333334,2,0
2,0.35740414939254994,80,0,1.1866666666666665,3,0
3,0.3946960915603751,80,0,1.18,4,0
4,0.5027410193935292,80,0,1.1733333333333333,5,0
5,0.5277024024110444,80,0,1.1666666666666665,6,0
6,0.45327694882424246,80,0,1.16,7,0
7,0.47389898575419204,80,0,1.1533333333333333,8,0
8,0.7170257258385854,74,-0.926,1.1466666666666667,9,0
9,0.5268890147290497,80,0,1.14,10,0
10,0.38396759940070685,80,0,1.1333333333333333,11,0
11,0.35176760849260263,80,0,1.1266666666666667,12,0
12,0.44853725288198804,80,0,1.1199999999999999,13,0
13,0.4763881029281438,80,0,1.1133333333333333,14,0
14,0.6356130503279006,80,0,1.1066666666666667,15,0
15,0.6009324933989334,80,0,1.1,16,0
16,0.5114198435091248,80,0,1.0933333333333333,17,0
17,0.5866252996721096,80,0,1.0866666666666667,18,0
18,0.5579287280279017,80,0,1.08,19,0
19,0.4759906358373123,80,0,1.0733333333333333,20,0
20,0.680264322488778,80,0,1.0666666666666667,21,0
21,0.37534963440943603,80,0,1.06,22,0
22,0.5919489231740568,80,0,1.0533333333333332,23,0
23,0.41367918283199184,80,0,1.0466666666666666,24,0
24,0.5541905189216008,80,0,1.04,25,0
25,0.459084707529321,80,0,1.0333333333333332,26,0
26,0.44835061244614133,80,0,1.0266666666666666,27,0
27,0.5422697879867487,80,0,1.02,28,0
28,0.40190359898395284,80,0,1.0133333333333334,29,0
29,0.48597392285433055,80,0,1.0066666666666666,30,0
30,0.4294962968911848,80,0,1,31,0
31,0.4694218801454191,80,0,0.9933333333333333,32,0
32,0.5557258646360489,80,0,0.9866666666666667,33,0
33,0.514726575702103,80,0,0.98,34,0
34,0.5386571376398542,80,0,0.9733333333333334,35,0
35,0.47716313798489013,80,0,0.9666666666666667,36,0
36,0.45545943870341055,80,0,0.96,37,0
37,0.48209444989725087,80,0,0.9533333333333334,38,0
38,0.5325405085656602,55,0.945,0.9466666666666668,39,0
39,0.3911851414544225,80,0,0.94,40,0
40,0.6037760723186791,80,0,0.9333333333333333,41,0
41,0.5587091240677342,80,0,0.9266666666666667,42,0
42,0.5491359589050033,80,0,0.92,43,0
43,0.4672919547146843,80,0,0.9133333333333333,44,0
44,0.4883015378055716,80,0,0.9066666666666667,45,0
45,0.6398094319053065,80,0,0.9,46,0
46,0.4664200144877514,80,0,0.8933333333333333,47,0
47,0.39561257392469434,80,0,0.8866666666666667,48,0
48,0.5254848505728849,80,0,0.88,49,0
49,0.45898908360787694,80,0,0.8733333333333333,50,0
50,0.3858296098844758,80,0,0.8666666666666667,51,0
51,0.4301490852581007,80,0,0.8600000000000001,52,0
52,0.4439452131684325,80,0,0.8533333333333333,53,0
53,0.5846124347892311,80,0,0.8466666666666667,54,0
54,0.596572157932383,80,0,0.8400000000000001,55,0
55,0.5603831614994255,80,0,0.8333333333333334,56,0
56,0.6488215130349851,80,0,0.8266666666666667,57,0
57,0.5835025225553553,80,0,0.8200000000000001,58,0
58,0.6631621488586881,80,0,0.8133333333333334,59,0
59,0.4534643036352634,80,0,0.8066666666666668,60,0
